               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.034934,            0.017212,            0.004618,             0.61622,               0.797,             0.66059,             0.36197,             0.02541,            0.010286,            0.011221,            0.003994,            0.003994,            0.003994
                  93,            0.031806,            0.018868,           0.0044428,             0.65312,             0.71153,             0.70571,             0.36862,            0.024397,            0.010198,            0.010577,            0.003928,            0.003928,            0.003928
                  94,            0.034459,            0.020317,           0.0070575,             0.69505,             0.70417,             0.69454,             0.36229,            0.024252,            0.010338,           0.0096069,            0.003862,            0.003862,            0.003862
                  95,            0.033657,             0.02295,           0.0058081,             0.67824,              0.7375,             0.75093,             0.43062,            0.022615,            0.010389,           0.0092865,            0.003796,            0.003796,            0.003796
                  96,            0.030255,             0.01701,           0.0043455,             0.67907,             0.74298,             0.74551,             0.42596,             0.02357,            0.010376,           0.0086304,             0.00373,             0.00373,             0.00373
                  97,            0.030377,            0.022289,           0.0054155,             0.65637,             0.75635,             0.73473,             0.41372,             0.02377,            0.010884,            0.008728,            0.003664,            0.003664,            0.003664
                  98,            0.031513,            0.019621,           0.0038336,             0.65787,             0.75688,             0.73707,             0.43061,            0.023272,            0.010942,           0.0089478,            0.003598,            0.003598,            0.003598
                  99,             0.02737,            0.018171,           0.0050502,             0.65764,             0.75041,             0.74556,             0.45462,            0.022547,            0.010955,           0.0091461,            0.003532,            0.003532,            0.003532
                 100,            0.029223,            0.019975,              0.0029,             0.65674,             0.74062,             0.74681,             0.42978,            0.023884,            0.011209,           0.0095001,            0.003466,            0.003466,            0.003466
                 101,            0.031753,             0.01767,           0.0028357,             0.66035,             0.74177,             0.74584,             0.40482,            0.022656,            0.010921,           0.0093109,              0.0034,              0.0034,              0.0034
                 102,            0.030397,            0.021233,           0.0035793,             0.66251,             0.72007,             0.75039,             0.44332,            0.023606,            0.010854,           0.0095764,            0.003334,            0.003334,            0.003334
                 103,            0.031793,            0.019083,             0.00427,             0.65985,             0.77322,             0.76015,              0.3982,            0.023193,            0.010674,           0.0088562,            0.003268,            0.003268,            0.003268
                 104,            0.029502,            0.018041,           0.0028592,             0.65414,             0.78816,             0.71904,             0.43309,            0.023653,             0.01084,           0.0088318,            0.003202,            0.003202,            0.003202
                 105,            0.030319,              0.0217,           0.0037962,             0.64037,             0.80417,             0.73487,             0.40751,            0.023139,            0.011052,           0.0086273,            0.003136,            0.003136,            0.003136
                 106,            0.028742,            0.019713,            0.003032,             0.66787,             0.80192,             0.71696,             0.42734,            0.023148,            0.010921,            0.008493,             0.00307,             0.00307,             0.00307
                 107,            0.028909,            0.021119,           0.0034113,             0.66753,             0.80417,             0.73377,             0.40357,             0.02288,            0.011056,           0.0084167,            0.003004,            0.003004,            0.003004
                 108,              0.0312,            0.018759,           0.0024322,               0.666,             0.80417,             0.71166,             0.40347,            0.024109,            0.011271,           0.0084778,            0.002938,            0.002938,            0.002938
